metric,unit,topology,dimension,nodes,value,p95,n,decision,topo_verified
graph_edges,edges,diamond,D6,4,4,,,root-deny,True
graph_edges,edges,diamond,D6,6,8,,,allow,True
graph_edges,edges,diamond,D6,6,8,,,root-deny,True
graph_edges,edges,diamond,D6,10,16,,,allow,True
graph_edges,edges,diamond,D6,10,16,,,root-deny,True
graph_edges,edges,diamond,D6,18,32,,,allow,True
graph_edges,edges,diamond,D6,18,32,,,root-deny,True
graph_edges,edges,fan-in,D2,3,2,,,allow,True
graph_edges,edges,fan-in,D2,5,4,,,allow,True
graph_edges,edges,fan-in,D2,9,8,,,allow,True
graph_edges,edges,fan-in,D2,17,16,,,allow,True
graph_edges,edges,fan-in,D2,33,32,,,allow,True
graph_edges,edges,fan-out,D2,3,2,,,allow,True
graph_edges,edges,fan-out,D2,5,4,,,allow,True
graph_edges,edges,fan-out,D2,9,8,,,allow,True
graph_edges,edges,fan-out,D2,17,16,,,allow,True
graph_edges,edges,fan-out,D2,33,32,,,allow,True
graph_edges,edges,scc,D3,2,2,,,rollback-cascade,True
graph_edges,edges,scc,D7,2,2,,,publish,True
graph_edges,edges,scc,D3,4,4,,,rollback-cascade,True
graph_edges,edges,scc,D7,4,4,,,publish,True
graph_edges,edges,scc,D3,8,8,,,rollback-cascade,True
graph_edges,edges,scc,D7,8,8,,,publish,True
graph_edges,edges,scc,D3,16,16,,,rollback-cascade,True
graph_edges,edges,scc,D7,16,16,,,publish,True
graph_edges,edges,scc,D3,32,32,,,rollback-cascade,True
graph_edges,edges,scc,D7,32,32,,,publish,True
metadata_bytes_per_node,bytes,chain,D1,2,17031376.0,,,allow,True
metadata_bytes_per_node,bytes,chain,D1,2,30095244.0,,,root-deny,True
metadata_bytes_per_node,bytes,chain,D1,4,9436494.0,,,allow,True
metadata_bytes_per_node,bytes,chain,D1,4,9017712.0,,,root-deny,True
metadata_bytes_per_node,bytes,chain,D1,8,5630303.0,,,allow,True
metadata_bytes_per_node,bytes,chain,D1,8,4984936.0,,,root-deny,True
metadata_bytes_per_node,bytes,chain,D5,8,5405387.0,,,allow,True
metadata_bytes_per_node,bytes,chain,D5,8,5915885.0,,,root-deny,True
metadata_bytes_per_node,bytes,chain,D5,8,6610454.0,,,middle-deny,True
metadata_bytes_per_node,bytes,chain,D1,16,2594758.5,,,allow,True
metadata_bytes_per_node,bytes,chain,D1,16,2398021.0,,,root-deny,True
metadata_bytes_per_node,bytes,chain,D1,32,1763156.25,,,allow,True
metadata_bytes_per_node,bytes,chain,D1,32,1376753.5,,,root-deny,True
metadata_bytes_per_node,bytes,concurrent,D4,2,51834952.0,,,allow,True
metadata_bytes_per_node,bytes,concurrent,D4,5,10024978.0,,,allow,True
metadata_bytes_per_node,bytes,concurrent,D4,9,6065541.0,,,allow,True
metadata_bytes_per_node,bytes,concurrent,D4,17,4124927.5,,,allow,True
metadata_bytes_per_node,bytes,concurrent,D4,33,2198138.0,,,allow,True
metadata_bytes_per_node,bytes,diamond,D6,4,21070276.0,,,allow,True
metadata_bytes_per_node,bytes,diamond,D6,4,29925760.0,,,root-deny,True
metadata_bytes_per_node,bytes,diamond,D6,6,11911128.0,,,allow,True
metadata_bytes_per_node,bytes,diamond,D6,6,10810432.0,,,root-deny,True
metadata_bytes_per_node,bytes,diamond,D6,10,7198878.0,,,allow,True
metadata_bytes_per_node,bytes,diamond,D6,10,6045951.0,,,root-deny,True
metadata_bytes_per_node,bytes,diamond,D6,18,3557058.0,,,allow,True
metadata_bytes_per_node,bytes,diamond,D6,18,2960723.0,,,root-deny,True
metadata_bytes_per_node,bytes,fan-in,D2,3,29704700.0,,,allow,True
metadata_bytes_per_node,bytes,fan-in,D2,5,10157056.0,,,allow,True
metadata_bytes_per_node,bytes,fan-in,D2,9,6104638.0,,,allow,True
metadata_bytes_per_node,bytes,fan-in,D2,17,2869069.5,,,allow,True
metadata_bytes_per_node,bytes,fan-in,D2,33,1977381.25,,,allow,True
metadata_bytes_per_node,bytes,fan-out,D2,3,23304648.0,,,allow,True
metadata_bytes_per_node,bytes,fan-out,D2,5,9414504.0,,,allow,True
metadata_bytes_per_node,bytes,fan-out,D2,9,5553843.0,,,allow,True
metadata_bytes_per_node,bytes,fan-out,D2,17,2585344.5,,,allow,True
metadata_bytes_per_node,bytes,fan-out,D2,33,1699609.5,,,allow,True
metadata_bytes_per_node,bytes,scc,D3,2,19329208.0,,,rollback-cascade,True
metadata_bytes_per_node,bytes,scc,D7,2,32175008.0,,,publish,True
metadata_bytes_per_node,bytes,scc,D3,4,10143300.0,,,rollback-cascade,True
metadata_bytes_per_node,bytes,scc,D7,4,16232692.0,,,publish,True
metadata_bytes_per_node,bytes,scc,D3,8,5544988.0,,,rollback-cascade,True
metadata_bytes_per_node,bytes,scc,D7,8,9842561.0,,,publish,True
metadata_bytes_per_node,bytes,scc,D3,16,2658482.0,,,rollback-cascade,True
metadata_bytes_per_node,bytes,scc,D7,16,3868329.0,,,publish,True
metadata_bytes_per_node,bytes,scc,D3,32,1545408.75,,,rollback-cascade,True
metadata_bytes_per_node,bytes,scc,D7,32,2588523.25,,,publish,True
metadata_heap_mb,MB,chain,D1,2,32.484771728515625,,,allow,True
metadata_heap_mb,MB,chain,D1,2,57.402122497558594,,,root-deny,True
metadata_heap_mb,MB,chain,D1,4,35.99736785888672,,,allow,True
metadata_heap_mb,MB,chain,D1,4,34.39984130859375,,,root-deny,True
metadata_heap_mb,MB,chain,D1,8,42.95580291748047,,,allow,True
metadata_heap_mb,MB,chain,D1,8,38.03204345703125,,,root-deny,True
metadata_heap_mb,MB,chain,D5,8,41.239830017089844,,,allow,True
metadata_heap_mb,MB,chain,D5,8,45.134620666503906,,,root-deny,True
metadata_heap_mb,MB,chain,D5,8,50.43376159667969,,,middle-deny,True
metadata_heap_mb,MB,chain,D1,16,39.592872619628906,,,allow,True
metadata_heap_mb,MB,chain,D1,16,36.59089660644531,,,root-deny,True
metadata_heap_mb,MB,chain,D1,32,53.80725860595703,,,allow,True
metadata_heap_mb,MB,chain,D1,32,42.01518249511719,,,root-deny,True
metadata_heap_mb,MB,concurrent,D4,2,49.43366241455078,,,allow,True
metadata_heap_mb,MB,concurrent,D4,5,38.24225616455078,,,allow,True
metadata_heap_mb,MB,concurrent,D4,9,46.276405334472656,,,allow,True
metadata_heap_mb,MB,concurrent,D4,17,62.94139862060547,,,allow,True
metadata_heap_mb,MB,concurrent,D4,33,67.08184814453125,,,allow,True
metadata_heap_mb,MB,diamond,D6,4,40.18836212158203,,,allow,True
metadata_heap_mb,MB,diamond,D6,4,57.078857421875,,,root-deny,True
metadata_heap_mb,MB,diamond,D6,6,45.437347412109375,,,allow,True
metadata_heap_mb,MB,diamond,D6,6,41.238525390625,,,root-deny,True
metadata_heap_mb,MB,diamond,D6,10,54.92308044433594,,,allow,True
metadata_heap_mb,MB,diamond,D6,10,46.12694549560547,,,root-deny,True
metadata_heap_mb,MB,diamond,D6,18,54.276397705078125,,,allow,True
metadata_heap_mb,MB,diamond,D6,18,45.17704772949219,,,root-deny,True
metadata_heap_mb,MB,fan-in,D2,3,56.65721893310547,,,allow,True
metadata_heap_mb,MB,fan-in,D2,5,38.74609375,,,allow,True
metadata_heap_mb,MB,fan-in,D2,9,46.57469177246094,,,allow,True
metadata_heap_mb,MB,fan-in,D2,17,43.778526306152344,,,allow,True
metadata_heap_mb,MB,fan-in,D2,33,60.344886779785156,,,allow,True
metadata_heap_mb,MB,fan-out,D2,3,44.45008850097656,,,allow,True
metadata_heap_mb,MB,fan-out,D2,5,35.913482666015625,,,allow,True
metadata_heap_mb,MB,fan-out,D2,9,42.372459411621094,,,allow,True
metadata_heap_mb,MB,fan-out,D2,17,39.44922637939453,,,allow,True
metadata_heap_mb,MB,fan-out,D2,33,51.86796569824219,,,allow,True
metadata_heap_mb,MB,scc,D3,2,36.86753845214844,,,rollback-cascade,True
metadata_heap_mb,MB,scc,D7,2,61.36895751953125,,,publish,True
metadata_heap_mb,MB,scc,D3,4,38.69361877441406,,,rollback-cascade,True
metadata_heap_mb,MB,scc,D7,4,61.92280578613281,,,publish,True
metadata_heap_mb,MB,scc,D3,8,42.304901123046875,,,rollback-cascade,True
metadata_heap_mb,MB,scc,D7,8,75.09278106689453,,,publish,True
metadata_heap_mb,MB,scc,D3,16,40.565216064453125,,,rollback-cascade,True
metadata_heap_mb,MB,scc,D7,16,59.02601623535156,,,publish,True
metadata_heap_mb,MB,scc,D3,32,47.162132263183594,,,rollback-cascade,True
metadata_heap_mb,MB,scc,D7,32,78.9954605102539,,,publish,True
rollback_latency_ms,ms,chain,D1,2,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,chain,D1,4,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,chain,D1,8,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,chain,D5,8,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,chain,D5,8,0.0,0.0,10,middle-deny,True
rollback_latency_ms,ms,chain,D1,16,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,chain,D1,32,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,diamond,D6,4,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,diamond,D6,6,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,diamond,D6,10,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,diamond,D6,18,0.0,0.0,10,root-deny,True
rollback_latency_ms,ms,scc,D3,2,0.0,0.0,10,rollback-cascade,True
rollback_latency_ms,ms,scc,D3,4,0.0,0.0,10,rollback-cascade,True
rollback_latency_ms,ms,scc,D3,8,0.0,0.0,10,rollback-cascade,True
rollback_latency_ms,ms,scc,D3,16,0.0,0.0,10,rollback-cascade,True
rollback_latency_ms,ms,scc,D3,32,0.0,0.0,10,rollback-cascade,True
