dimension,topology,size,nodes,decision,resolution_op,repeats,topo_verified,error_count,first_error,resolution_p50_ms,resolution_p95_ms,resolution_n,per_node_resolution_us,rollback_p50_ms,rollback_p95_ms,rollback_affected_mean,rollback_affected_max,finalization_wait_p50_ms,finalization_wait_p95_ms,graph_drain_p50_ms,pending_commits,commit_attempts_max,graph_revalidations,finalize_rejected_toctou,authz_to_finalized_p50_ms,fs_begin_finalize_p50_ms,fs_wait_finalized_p50_ms,finalize_lock_wait_p50_ms,finalize_lock_held_p50_ms,fs_prepare_resolution_p50_ms,fs_rollback_p50_ms,setup_p50_ms,open_p50_us,begin_p50_ms,run_p50_us,epochs_peak,edges_peak,versions_peak,objects_peak,scc_count_peak,cyclic_scc_count_peak,max_scc_size_peak,heap_alloc_mb_peak,metadata_bytes_per_node,edge_insertions,invocations,edges_per_invocation,scc_computations,scc_compute_us_per_sweep,affected_queries,affected_query_us_per_query,finalized_nodes_total,rollbacks,rollback_nodes_total,orchestrator_cpu_pct,shadowfs_cpu_pct,shadowproc_cpu_pct,daemons_cpu_pct,shadowfs_rss_peak_mb,wall_time_s
D2,fan-out,8,9,allow,commit,10,True,0,,109.755623,112.179271,10,12195.069222222222,,,,,11.7947875,14.6209332,,0,1,0,0,2.145,0.73,0.001,0.003,3.406,0.1185,,4894.715051,531123.5545,8.7574225,2700.902,9,8,1,1,9,0,1,42.372459411621094,5553843.0,80,90,0.8888888888888888,450,4.622455555555555,100,3.33637,90,0,0,1.453,0.478,1.234,3.165,63.031,50.242074728012085
D2,fan-out,16,17,allow,commit,10,True,0,,208.1267165,211.03258440000002,10,12242.748029411763,,,,,11.882926,14.7274155,,0,1,0,0,2.159,0.7455,0.001,0.003,3.4255,0.125,,9206.867879,529099.367,8.7855045,2690.381,17,16,1,1,17,0,1,39.44922637939453,2585344.5,160,170,0.9411764705882353,850,6.471124705882353,180,3.308661111111111,170,0,0,1.47,0.497,1.269,3.236,65.234,94.57337927818298
D2,fan-out,32,33,allow,commit,10,True,0,,396.7956545,405.7377884,10,12024.110742424242,,,,,11.851643,12.7908635,,0,1,0,0,2.158,0.747,0.001,0.003,3.413,0.124,,17884.352667,529770.0855,8.7888695,2683.513,33,32,1,1,33,0,1,51.86796569824219,1699609.5,320,330,0.9696969696969697,1650,9.145983636363637,340,3.293735294117647,330,0,0,1.442,0.49,1.36,3.292,67.957,183.78225946426392
D2,fan-in,2,3,allow,commit,10,True,0,,40.260689,40.7244046,10,13420.229666666666,,,,,13.9247035,14.552604,,0,1,0,0,4.1345,2.7025,0.001,0.003,5.3615,0.122,,1638.196744,531581.073,8.643806,2848.407,3,2,2,2,3,0,1,56.65721893310547,29704700.0,20,40,0.5,150,3.3855999999999997,40,3.14465,30,0,0,1.538,0.651,1.183,3.372,69.719,16.90187692642212
D2,fan-in,4,5,allow,commit,10,True,0,,68.5957335,70.754464,10,13719.146699999998,,,,,13.9885985,15.225265199999999,,0,1,0,0,4.1585,2.802,0.001,0.003,5.45,0.12,,2724.159815,529905.566,8.775592,2747.587,5,4,4,4,5,0,1,38.74609375,10157056.0,40,80,0.5,250,4.327748,60,3.074233333333333,50,0,0,1.565,0.783,1.209,3.557,70.895,28.11206293106079
D2,fan-in,8,9,allow,commit,10,True,0,,127.092146,144.22008,10,14121.349555555555,,,,,14.248929,15.4428179,,0,1,0,0,4.2085,2.8095,0.001,0.003,5.4815,0.116,,4912.5589385,530535.686,8.609672,2714.235,9,8,8,8,9,0,1,46.57469177246094,6104638.0,80,160,0.5,450,5.144455555555555,100,2.65201,90,0,0,1.503,0.692,1.226,3.421,70.922,50.57840299606323
D2,fan-in,16,17,allow,commit,10,True,0,,238.7821865,255.0924384,10,14046.010970588235,,,,,14.005096,14.9304431,,0,1,0,0,4.1815,2.816,0.001,0.003,5.454,0.122,,9255.64837,530457.119,8.7240925,2592.703,17,16,16,16,17,0,1,43.778526306152344,2869069.5,160,320,0.5,850,7.427641176470588,180,2.5550944444444443,170,0,0,1.499,0.692,1.268,3.459,71.395,95.42365002632141
D2,fan-in,32,33,allow,commit,10,True,0,,474.340681,481.25540689999997,10,14373.960030303031,,,,,14.161106,15.0330946,,0,1,0,0,4.2585,2.84,0.001,0.003,5.5005,0.125,,17944.7615645,529901.2465,8.7682745,2605.332,33,32,32,32,33,0,1,60.344886779785156,1977381.25,320,640,0.5,1650,10.954006666666666,340,2.4806470588235294,330,0,0,1.488,0.706,1.337,3.531,75.891,185.44149041175842
D3,scc,2,2,rollback-cascade,cascade-rollback,10,True,0,,11.4000255,12.1445005,10,5700.01275,0.0,0.0,2.0,2,,,,0,,0,0,,,,,,,1.58,1075.442278,525560.088,8.830943,2870.1035,2,2,2,2,1,1,2,36.86753845214844,19329208.0,20,40,0.5,0,,30,3.3035666666666668,0,20,20,1.799,0.989,1.259,4.047,76.73,11.118372917175293
D3,scc,4,4,rollback-cascade,cascade-rollback,10,True,0,,13.7615355,13.960050599999999,10,3440.383875,0.0,0.0,4.0,4,,,,0,,0,0,,,,,,,1.906,2184.5507755,528746.346,8.7836235,2663.369,4,4,4,4,1,1,4,38.69361877441406,10143300.0,40,80,0.5,0,,50,4.04108,0,40,40,1.708,0.629,1.303,3.64,77.141,22.254010915756226
D3,scc,8,8,rollback-cascade,cascade-rollback,10,True,0,,18.8134655,20.729445899999998,10,2351.6831875,0.0,0.0,8.0,8,,,,0,,0,0,,,,,,,2.5685,4351.289396,529205.26,8.74772,2640.39,8,8,8,8,1,1,8,42.304901123046875,5544988.0,80,160,0.5,0,,90,4.5266222222222225,0,80,80,1.641,0.562,1.303,3.506,77.504,44.498021602630615
D3,scc,16,16,rollback-cascade,cascade-rollback,10,True,0,,28.6060395,29.4026511,10,1787.8774687500002,0.0,0.0,16.0,16,,,,0,,0,0,,,,,,,3.8895,8739.478362,531219.6445,8.8011095,2677.684,16,16,16,16,1,1,16,40.565216064453125,2658482.0,160,320,0.5,0,,170,9.408152941176471,0,160,160,1.647,0.571,1.378,3.596,77.531,89.26647663116455
D3,scc,32,32,rollback-cascade,cascade-rollback,10,True,0,,47.2914595,64.2319535,10,1477.8581093750001,0.0,0.0,32.0,32,,,,0,,0,0,,,,,,,6.315,17466.883253,530596.413,8.7820605,2598.9675,32,32,32,32,1,1,32,47.162132263183594,1545408.75,320,640,0.5,0,,330,15.968675757575758,0,320,320,1.621,0.544,1.425,3.59,67.188,178.27852773666382
D4,concurrent,1,2,allow,commit,10,True,0,,29.0906085,29.660765100000003,10,14545.30425,,,,,14.399736,14.712089599999999,,0,1,0,0,4.254,2.805,0.001,0.003,5.5475,0.1195,,,534092.636,8.7998985,8240.708,2,1,2,2,2,0,1,49.43366241455078,51834952.0,10,30,0.3333333333333333,100,3.1875999999999998,20,3.92855,20,0,0,1.754,0.789,1.14,3.683,67.32,11.401618480682373
D4,concurrent,4,5,allow,commit,10,True,0,,59.5496975,62.7586786,10,11909.9395,,,,,30.662506,44.394764200000004,,0,1,0,0,4.3615,2.8235,0.001,7.265,8.105,0.127,,,533707.9285,8.7944155,3710.3275,5,4,5,5,5,0,1,38.24225616455078,10024978.0,40,90,0.4444444444444444,250,4.113448,20,5.161149999999999,50,0,0,4.096,1.839,1.672,7.607,68.164,11.964927911758423
D4,concurrent,8,9,allow,commit,10,True,0,,100.972351,105.2158566,10,11219.150111111112,,,,,51.733939,84.40705129999999,,0,1,0,0,5.365,2.84,0.001,27.6495,8.751,0.1305,,,526974.155,8.8926475,4404.3135,9,8,9,9,9,0,1,46.276405334472656,6065541.0,80,170,0.47058823529411764,450,5.1318488888888885,20,9.1912,90,0,0,7.587,2.556,2.236,12.379,68.516,12.521651268005371
D4,concurrent,16,17,allow,commit,10,True,0,,180.449621,196.6988394,10,10614.683588235295,,,,,98.085835,162.48923059999998,,0,1,0,0,5.807,3.1195,0.001,68.396,8.928,0.143,,,526925.8075,8.3727765,6879.3775,17,16,17,17,17,0,1,62.94139862060547,4124927.5,160,330,0.48484848484848486,850,7.069590588235294,20,15.13125,170,0,0,13.295,4.312,3.306,20.913,77.82,13.916438579559326
D4,concurrent,32,33,allow,commit,10,True,0,,351.7223445,369.3634088,10,10658.252863636364,,,,,194.4409,325.5319277,,0,1,0,0,6.6225,3.407,0.001,154.63,8.9235,0.15,,,526447.107,8.7003005,7711.0565,33,32,33,33,33,0,1,67.08184814453125,2198138.0,320,650,0.49230769230769234,1650,10.24766303030303,20,23.3937,330,0,0,21.631,7.092,4.728,33.451,87.652,16.920846700668335
D5,chain,8,8,allow,commit,10,True,0,,112.41758,118.2912973,10,14052.1975,,,,,13.972608,14.8338528,,0,1,0,0,4.17,2.8085,0.001,0.003,5.454,0.117,,4328.83718,527653.753,8.680498,2637.691,8,7,8,8,8,0,1,41.239830017089844,5405387.0,70,150,0.4666666666666667,400,5.470185000000001,90,3.666655555555556,80,0,0,1.499,0.783,1.231,3.513,90.086,44.69262337684631
D5,chain,8,8,root-deny,cascade-rollback,10,True,0,,18.9196225,19.1716243,10,2364.9528124999997,0.0,0.0,8.0,8,,,,0,,0,0,,,,,,,2.598,4366.4903975,531004.1675,8.7592775,2620.195,8,7,8,8,8,0,1,45.134620666503906,5915885.0,70,150,0.4666666666666667,0,,90,3.8226444444444447,0,80,80,1.659,0.583,1.3,3.542,90.285,44.61076307296753
D5,chain,8,8,middle-deny,cascade-rollback,10,True,0,,14.17797,14.5778976,10,1772.24625,0.0,0.0,4.0,4,14.265098,14.882588,,0,1,0,0,4.251,2.814,0.001,0.003,5.5335,0.121,1.939,4371.759433,530513.635,8.722015,2645.8615,8,7,8,8,8,0,1,50.43376159667969,6610454.0,70,150,0.4666666666666667,200,6.772905,100,3.84273,40,40,40,1.581,0.601,1.247,3.429,90.305,44.91571307182312
D6,diamond,2,4,allow,commit,10,True,0,,54.5353125,58.2401117,10,13633.828125,,,,,14.0660455,15.1220713,,0,1,0,0,4.1705,2.7945,0.001,0.003,5.439,0.117,,2180.352217,529731.2415,8.81836,2690.874,4,4,3,3,4,0,1,40.18836212158203,21070276.0,40,70,0.5714285714285714,200,4.079795,50,3.43494,40,0,0,1.556,0.8,1.245,3.601,90.305,22.49907636642456
D6,diamond,4,6,allow,commit,10,True,0,,82.354115,85.08802890000001,10,13725.685833333331,,,,,13.9826875,14.685666,,0,1,0,0,4.1665,2.8035,0.001,0.003,5.423,0.1185,,3281.803675,529210.611,8.815914,2577.3455,6,8,5,5,6,0,1,45.437347412109375,11911128.0,80,130,0.6153846153846154,300,4.601226666666666,70,3.518042857142857,60,0,0,1.569,0.74,1.243,3.552,74.066,33.78848385810852
D6,diamond,8,10,allow,commit,10,True,0,,138.743099,141.3304099,10,13874.309899999998,,,,,13.9897015,14.6207037,,0,1,0,0,4.165,2.8045,0.001,0.003,5.4425,0.119,,5469.7221615,531522.661,8.79021,2559.465,10,16,9,9,10,0,1,54.92308044433594,7198878.0,160,250,0.64,500,5.522532,110,3.5917818181818184,100,0,0,1.525,0.709,1.259,3.493,74.082,56.38988757133484
D6,diamond,16,18,allow,commit,10,True,0,,253.384113,286.0140024,10,14076.895166666667,,,,,14.0129205,14.9934371,,0,1,0,0,4.185,2.821,0.001,0.003,5.458,0.12,,9849.232969,530439.7215,8.7703715,2560.512,18,32,17,17,18,0,1,54.276397705078125,3557058.0,320,490,0.6530612244897959,900,7.710436666666666,190,3.675884210526316,180,0,0,1.534,0.747,1.278,3.559,75.113,101.72864866256714
D6,diamond,2,4,root-deny,cascade-rollback,10,True,0,,13.739591,16.0309135,10,3434.89775,0.0,0.0,4.0,4,,,,0,,0,0,,,,,,,1.7935,2176.5657495,528572.3595,8.661102,2680.8835,4,4,3,3,4,0,1,57.078857421875,29925760.0,40,70,0.5714285714285714,0,,50,3.29382,0,40,40,1.662,0.584,1.258,3.504,75.117,22.259236335754395
D6,diamond,4,6,root-deny,cascade-rollback,10,True,0,,16.423302,16.640504,10,2737.217,0.0,0.0,6.0,6,,,,0,,0,0,,,,,,,2.1545,3281.1121065,530591.7735,8.8413285,2655.95,6,8,5,5,6,0,1,41.238525390625,10810432.0,80,130,0.6153846153846154,0,,70,3.8513571428571427,0,60,60,1.696,0.655,1.309,3.66,75.152,33.613300800323486
D6,diamond,8,10,root-deny,cascade-rollback,10,True,0,,21.3353545,21.5261559,10,2133.5354500000003,0.0,0.0,10.0,10,,,,0,,0,0,,,,,,,2.742,5488.755362,532044.207,8.8372075,2585.9685,10,16,9,9,10,0,1,46.12694549560547,6045951.0,160,250,0.64,0,,110,3.710554545454545,0,100,100,1.674,0.588,1.318,3.58,75.152,56.146578311920166
D6,diamond,16,18,root-deny,cascade-rollback,10,True,0,,30.688479,31.423593399999998,10,1704.9155,0.0,0.0,18.0,18,,,,0,,0,0,,,,,,,4.046,9862.81101,531091.3155,8.833644,2554.7135,18,32,17,17,18,0,1,45.17704772949219,2960723.0,320,490,0.6530612244897959,0,,190,3.6685684210526315,0,180,180,1.648,0.616,1.34,3.604,75.152,100.71421337127686
D7,scc,2,2,publish,commit,10,True,20,rep=0: scc member not published: commit_pid: Process 2025082 is not part of a tracked epoch decision=None,34.2904005,34.5452907,10,17145.200249999998,,,,,28.1088515,34.1219939,120001.9703255,10,2,0,0,3.8015,2.2715,0.001,1.0945,5.612,0.121,,1097.9703835,534053.084,8.666064,2773.6895,11,2,2,2,10,1,2,61.36895751953125,32175008.0,20,40,0.5,110,5.5308,30,3.5643000000000002,30,0,0,3.093,2.111,0.804,6.008,94.812,1211.6239275932312
D7,scc,4,4,publish,commit,10,True,26,"rep=0: scc member not published: prepare_resolution: epoch ""ep-1e4db0727f40"" not found decision=None",51.9907825,75.41773140000001,10,12997.695625,,,,,45.628577,65.43268429999999,120002.3651125,30,3,0,0,6.597,2.139,0.001,0.003,6.8455,0.1285,,2189.2433685,532341.466,8.835405,2713.284,28,4,4,4,25,1,4,61.92280578613281,16232692.0,40,80,0.5,147,11.807537414965985,50,3.90694,53,0,0,3.748,2.38,0.811,6.939,96.906,1102.8816559314728
D7,scc,8,8,publish,commit,10,True,0,,87.3263125,95.8299822,10,10915.7890625,,,,,67.5400955,86.1681991,0.305488,70,2,0,0,18.967,14.842,0.001,19.666,1.4425,0.077,,4353.9801485,529017.74,8.9345125,2693.589,33,8,8,8,26,1,8,75.09278106689453,9842561.0,80,160,0.5,120,20.053900000000002,90,4.812022222222222,80,0,0,2.552,1.074,1.276,4.902,96.926,44.67526078224182
D7,scc,16,16,publish,commit,10,True,9,"rep=3: scc member not published: prepare_resolution: epoch ""ep-fc44703cd9fb"" not found decision=None",169.581278,199.95940230000002,10,10598.829875,,,,,133.737053,171.8946111,0.328563,150,2,0,0,30.353,24.612,0.001,60.425,1.4285,0.076,,8676.1868065,526953.5665,9.051211,2699.5815,48,16,16,16,33,1,16,59.02601623535156,3868329.0,160,320,0.5,235,26.217025531914892,170,9.532311764705883,167,0,0,4.416,2.528,1.056,8.0,97.453,209.24500012397766
D7,scc,32,32,publish,commit,10,True,6,"rep=0: scc member not published: prepare_resolution: epoch ""ep-4064924b94cc"" not found decision=None",337.753223,373.68014980000004,10,10554.78821875,,,,,265.3993045,289.4586337,0.2866955,310,2,0,0,52.9245,44.5115,0.001,135.5125,1.39,0.074,,17268.2252975,524195.8435,9.295402,2697.7725,66,32,32,32,35,1,32,78.9954605102539,2588523.25,320,640,0.5,370,36.55053783783784,330,15.900969696969696,322,0,0,5.49,3.135,1.164,9.789,97.727,297.29435563087463
